Regulator name,Acronym,Country,Zone,Tier classification,Rating,Investor protection scheme,Compensation limits,Retail leverage restrictions (typical),Notes,Regulator website URL,Year established,Regulatory jurisdiction type,Regulator description
Financial Conduct Authority,FCA,United Kingdom,Europe,Tier-1,5 stars,FSCS (investments),"Up to £85,000 per person per firm",UK CFD caps aligned to ESMA-style limits (retail),Tiering is an internal Safegate convention.,https://www.fca.org.uk,2013,Multi-sector (conduct),"Financial Conduct Authority is the primary financial regulator for United Kingdom, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It oversees a broad range of financial services activities—authorisation, ongoing supervision, conduct standards, and enforcement actions where needed.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Prudential Regulation Authority,PRA,United Kingdom,Europe,Tier-1,5 stars,FSCS (prudential-linked protections),Varies by product / scheme,UK CFD caps aligned to ESMA-style limits (retail),PRA is prudential; include for completeness.,https://www.bankofengland.co.uk/prudential-regulation,2013,Prudential (banking/insurance),"Prudential Regulation Authority is the primary financial regulator for United Kingdom, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It focuses on prudential supervision—setting capital and risk-management expectations, supervising resilience, and safeguarding the stability of regulated firms.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Australian Securities and Investments Commission,ASIC,Australia,Asia-Pacific,Tier-1,5 stars,CSLR (last resort compensation),"Up to AUD 150,000 (CSLR cap)",ASIC CFD caps: 30:1 FX majors; 20:1 minors/gold; 10:1 commodities; 5:1 equities; 2:1 crypto (retail),CSLR covers certain disputes; confirm applicability per case.,https://asic.gov.au,1998,Securities / financial services,"Australian Securities and Investments Commission is the primary financial regulator for Australia, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It focuses on securities and investment markets oversight—authorising and supervising investment firms, enforcing conduct rules, and monitoring market abuse and disclosure standards.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Monetary Authority of Singapore,MAS,Singapore,Asia-Pacific,Tier-1,5 stars,Varies / may be none (verify),Varies / not applicable (verify),Product-specific / varies,No single universal retail leverage cap across products.,https://www.mas.gov.sg,1971,Multi-sector (central bank & supervisor),"Monetary Authority of Singapore is the primary financial regulator for Singapore, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It oversees a broad range of financial services activities—authorisation, ongoing supervision, conduct standards, and enforcement actions where needed.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Financial Services Agency,JFSA/FSA,Japan,Asia-Pacific,Tier-1,5 stars,Varies / may be none (verify),Varies / not applicable (verify),Retail FX leverage cap: 25:1,Applies to retail FX; other products vary.,https://www.fsa.go.jp/en/,2000,Multi-sector (financial services),"Financial Services Agency is the primary financial regulator for Japan, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It oversees a broad range of financial services activities—authorisation, ongoing supervision, conduct standards, and enforcement actions where needed.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Securities and Futures Commission,SFC,Hong Kong,Asia-Pacific,Tier-1,5 stars,Varies / may be none (verify),Varies / not applicable (verify),Varies,,https://www.sfc.hk,1989,Securities,"Securities and Futures Commission is the primary financial regulator for Hong Kong, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It focuses on securities and investment markets oversight—authorising and supervising investment firms, enforcing conduct rules, and monitoring market abuse and disclosure standards.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Swiss Financial Market Supervisory Authority,FINMA,Switzerland,Europe,Tier-1,5 stars,National Investor Compensation Scheme (EEA) (where applicable),"Typically up to €20,000 (EEA ICS; verify national limit)",Varies,Switzerland not under ESMA.,https://www.finma.ch/en/,2009,Multi-sector (financial markets),"Swiss Financial Market Supervisory Authority is the primary financial regulator for Switzerland, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It oversees a broad range of financial services activities—authorisation, ongoing supervision, conduct standards, and enforcement actions where needed.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Federal Financial Supervisory Authority,BaFin,Germany,Europe,Tier-1,5 stars,German investor compensation (statutory + possible voluntary),Varies (Germany scheme rules),ESMA-style CFD caps: 30:1 FX majors; 20:1 minors/gold; 10:1 commodities; 5:1 equities; 2:1 crypto (retail),EEA ESMA-style product intervention.,https://www.bafin.de,2002,Multi-sector (financial supervisor),"Federal Financial Supervisory Authority is the primary financial regulator for Germany, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It oversees a broad range of financial services activities—authorisation, ongoing supervision, conduct standards, and enforcement actions where needed.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Autorité des Marchés Financiers,AMF,France,Europe,Tier-1,5 stars,French investor compensation scheme,Varies (France scheme rules),ESMA-style CFD caps: 30:1 FX majors; 20:1 minors/gold; 10:1 commodities; 5:1 equities; 2:1 crypto (retail),,https://www.amf-france.org/en,2003,Securities,"Autorité des Marchés Financiers is the primary financial regulator for France, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It focuses on securities and investment markets oversight—authorising and supervising investment firms, enforcing conduct rules, and monitoring market abuse and disclosure standards.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
Authority for the Financial Markets,AFM,Netherlands,Europe,Tier-1,5 stars,Dutch investor compensation scheme,Varies (Netherlands scheme rules),ESMA-style CFD caps: 30:1 FX majors; 20:1 minors/gold; 10:1 commodities; 5:1 equities; 2:1 crypto (retail),,https://www.afm.nl/,2002,Securities,"Authority for the Financial Markets is the primary financial regulator for Netherlands, responsible for supervising entities under its remit to promote market integrity, fair treatment of clients, and confidence in the financial system.

It focuses on securities and investment markets oversight—authorising and supervising investment firms, enforcing conduct rules, and monitoring market abuse and disclosure standards.

Typical tools include licensing/authorisation requirements, ongoing reporting and audits, rules on client money handling, disclosure standards, and enforcement powers such as fines, restrictions, or licence actions.

The exact protections available to a retail trader (compensation schemes, leverage caps, negative balance protection, etc.) depend on the regulated entity the client is onboarded to and the products offered under that licence."
